Manfred Reichert,https://scholar.google.com//citations?hl=en&user=BHDNcesAAAAJ,"Professor of Computer Science, Ulm University, Germany",24262,"['Business Process Management', 'Service Oriented Computing', 'E-Health', 'Information Systems', 'Business Process Modeling']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:service_oriented_computing', '/citations?hl=en&view_op=search_authors&mauthors=label:e_health', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_modeling']"
Ron Thompson,https://scholar.google.com//citations?hl=en&user=uZZDWI4AAAAJ,"Professor Emeritus, Wake Forest University",23772,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Mario Piattini (ORCID: 0000-0002-7212-8279),https://scholar.google.com//citations?hl=en&user=M91TyJcAAAAJ,Full Professor (UCLM),23300,"['Software Engineering', 'Information Systems', 'Security', 'Quantum Computing']","['/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:security', '/citations?hl=en&view_op=search_authors&mauthors=label:quantum_computing']"
Alexander Maedche,https://scholar.google.com//citations?hl=en&user=NLWSjCIAAAAJ,"Professor of Information Systems, Karlsruhe Institute of Technology KIT",23056,"['Information Systems', 'Interactive Intelligent Systems', 'Design Science Research', 'Human-Computer Interaction']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:interactive_intelligent_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:design_science_research', '/citations?hl=en&view_op=search_authors&mauthors=label:human_computer_interaction']"
Professor David Kelvin Allen,https://scholar.google.com//citations?hl=en&user=qO7vx44AAAAJ,Leeds University Business School,22772,"['Information Management', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Matthias Jarke,https://scholar.google.com//citations?hl=en&user=JbioEFgAAAAJ,"Professor of Information Systems, RWTH Aachen University",22656,"['databases', 'information systems', 'requirements engineering', 'conceptual modeling', 'data warehouse']","['/citations?hl=en&view_op=search_authors&mauthors=label:databases', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:requirements_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:conceptual_modeling', '/citations?hl=en&view_op=search_authors&mauthors=label:data_warehouse']"
Gerardine DeSanctis,https://scholar.google.com//citations?hl=en&user=3hJ8ZyoAAAAJ,"Professor of Business Administration, Duke University",22256,"['Group DSS', 'Information Systems', 'Automated Decision Support']","['/citations?hl=en&view_op=search_authors&mauthors=label:group_dss', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:automated_decision_support']"
Mary Lacity,https://scholar.google.com//citations?hl=en&user=jS4lsI8AAAAJ,"Walton Professor, University of Arkansas",22028,"['information systems', 'blockchain', 'artificial intelligence', 'robotic process automation', 'cognitive automation']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:blockchain', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:robotic_process_automation', '/citations?hl=en&view_op=search_authors&mauthors=label:cognitive_automation']"
Nadim Asif,https://scholar.google.com//citations?hl=en&user=78wQeEsAAAAJ,"Professor of Computer Science, Bahria University",21399,"['Software Engineering', 'Databases', 'E-Commerce', 'Reverse Engineering', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:databases', '/citations?hl=en&view_op=search_authors&mauthors=label:e_commerce', '/citations?hl=en&view_op=search_authors&mauthors=label:reverse_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
David Avison,https://scholar.google.com//citations?hl=en&user=skTI6XoAAAAJ,"Distinguished Emeritus Professor in Information Systems, ESSEC Business School, Paris",21127,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
